SUS,Percievable,Operable,Understandable,Robust,Flexibility,Recall,recognition,Errors,Hints,Trials before mastery,Times,Task Completetion 
87.5,4.25,5,5,3,4,0.666666667,1,1,1,2,41,0
77.5,4.25,4,4,4,4,0.6,0.8,1,1,2,69,0
92.5,4.25,4,4.333333333,4,4,1,1,0,0,1,26,1
75,4,4,4,4,4,0.666666667,1,0,0,1,29,1
95,5,5,5,5,5,0.666666667,0.666666667,1,4,3,80,1
95,4.5,5,5,5,5,0.5,0.5,1,1,2,157,1
95,4.5,5,5,5,5,0.6,1,1,2,2,37,1
95,5,5,5,5,5,0.5,1,0,0,1,12,1
97.5,5,5,5,3,5,1,1,0,0,1,24,1
95,4.5,5,5,3,5,1,1,0,1,2,57,0
97.5,4,5,5,3,5,1,1,0,0,1,35,1
97.5,4.75,5,5,4,5,1,1,0,0,1,9,1
52.5,3,4.5,4.666666667,5,3.5,0.833333333,0.833333333,1,3,2,59,1
97.5,5,5,4.333333333,4,4,0,0.5,1,1,2,90,1
47.5,4.75,3.5,3.666666667,5,4,0.2,1,2,3,3,51,0
42.5,5,3.5,4,5,4,0.5,0.75,6,3,3,21,0
87.5,5,5,4.333333333,5,4,0.666666667,1,0,0,1,19,1
95,5,4,4.333333333,5,4,1,0.8,0,2,2,34,0
90,5,5,4.333333333,5,4,1,1,0,0,1,26,1
95,5,5,4.333333333,5,4,1,1,0,0,1,21,1
100,5,5,5,5,5,1,0.833333333,0,2,2,64,1
97.5,5,5,5,5,5,0,1,1,1,2,98,1
100,5,5,5,5,5,0.6,1,2,2,2,39,1
100,5,5,5,5,5,0.75,0.75,0,0,1,19,1
100,5,5,5,5,5,0.666666667,1,0,0,1,19,1
100,5,5,5,5,5,1,1,0,1,2,25,0
100,5,5,5,5,5,0.75,0.75,0,1,1,26,1
100,5,5,5,5,5,1,1,0,0,1,19,1
