SUS,Percievable,Operable,Understandable,Robust,Flexibility,Recall,recognition,Errors,Hints,Trials before mastery,Times,Task Completetion 
90,3.25,4.5,3.666666667,3,2,1,1,0,0,1,6,1
100,5,3.5,5,5,5,0.833333333,0.833333333,4,2,2,31,1
55,4,2.5,2.333333333,5,4,0.5,1,11,1,2,29,1
100,5,5,5,5,5,0.8,1,0,0,1,18,1
100,5,5,5,5,5,0.75,1,0,0,1,13,1
100,5,5,5,5,5,1,1,0,0,1,20,1
100,5,5,5,5,5,0.8,0.8,6,0,3,18,0
100,5,5,5,5,5,0.75,0.75,0,0,1,18,1
95,5,5,4.666666667,5,5,0.666666667,0.666666667,1,1,2,15,0
87.5,4.5,4.5,4,3,3,1,1,1,0,2,23,1
90,4.25,4.5,4.333333333,3,3,1,1,12,1,3,25,0
92.5,4.5,5,4.666666667,3,3,0.8,0.8,3,0,2,15,1
90,4.25,5,4.666666667,3,3,1,1,0,0,1,4,1
100,4.5,5,4.333333333,3,3,0.666666667,0.666666667,0,0,1,17,1
97.5,3.75,5,4,3,3,1,1,0,0,1,25,1
100,4.5,5,5,3,3,1,1,3,0,2,19,1
100,4.5,5,4.666666667,3,3,1,1,0,0,1,13,1
92.5,4.5,5,4.333333333,3,4,1,1,0,0,1,34,1
95,3.5,5,5,3,3.5,0.5,1,5,1,3,34,0
97.5,3.75,5,4.666666667,3,3,0.8,1,0,0,1,20,1
97.5,3.75,5,5,3,4.5,0.75,1,0,0,1,11,1
100,4,5,4.666666667,3,3.5,1,1,0,0,1,14,1
100,4.5,5,4.666666667,3,4,1,1,0,0,1,29,1
97.5,4,5,5,3,3.5,1,1,2,0,3,15,0
100,3,5,4.666666667,3,3.5,1,1,0,0,1,18,1
77.5,3.5,2,3,3,3,1,1,2,1,2,45,1
40,3,1.5,2,3,1.5,1,1,8,1,2,44,1
85,4.25,4.5,4.666666667,3,4,0.8,1,0,0,1,13,1
65,2.5,3,2.666666667,3,3,0.75,1,2,0,2,8,1
82.5,3.75,4.5,4,3,3,1,1,0,0,1,16,1
67.5,3.25,2.5,2.333333333,3,3,1,1,3,0,2,21,0
80,3.25,2,3,3,3,1,1,1,0,2,46,1
65,2,3.5,2.666666667,3,3,1,1,0,0,1,34,1
80,5,5,4.333333333,5,5,1,1,0,0,1,27,1
50,3.75,3.5,2.666666667,5,3,1,1,8,1,2,28,1
77.5,4,4,4,5,4,1,0.8,1,0,2,9,1
55,4.25,4.5,4.333333333,5,4,1,0.75,3,0,2,3,1
75,5,5,4.666666667,5,4,1,0.666666667,0,0,1,10,1
72.5,5,4.5,4.333333333,5,4.5,1,1,0,0,1,15,1
65,4.75,4.5,4.333333333,5,4.5,1,1,0,0,1,6,1
75,4.75,4,4.666666667,5,4,1,1,0,0,1,5,1
87.5,4.5,4.5,5,5,3.5,0.666666667,0.833333333,3,0,3,37,1
80,3.25,4,4.333333333,3,3.5,1,1,5,1,2,28,1
95,4.75,5,4.333333333,5,3.5,0.8,1,0,0,1,15,1
95,4.5,5,4.333333333,5,4.5,0.75,1,2,0,2,6,1
97.5,5,5,4.666666667,5,4,1,1,0,0,1,12,1
95,5,5,4.666666667,5,4.5,0.8,0.8,0,0,1,22,1
100,5,5,4,5,4.5,1,0.75,0,0,1,14,1
92.5,5,5,4.666666667,4,4.5,0.666666667,0.666666667,0,0,1,13,1
85,4.5,5,4.333333333,5,4,0.666666667,0.666666667,7,1,4,51,0
100,5,5,5,5,5,0.5,1,0,0,1,39,1
25,2,1,2,1,1,0.8,0.8,17,1,6,25,0
100,4.75,5,5,4,5,0.75,0.5,2,0,2,4,1
100,5,5,5,5,5,1,1,2,1,2,10,0
100,4.75,5,4.666666667,5,5,0.8,0.8,3,0,2,11,0
97.5,4.75,5,5,5,5,0.75,0.75,10,0,3,12,0
100,5,5,5,5,5,0.666666667,0.666666667,0,0,1,10,1
65,3.75,3.5,3.333333333,4,4,1,1,5,1,3,14,1
47.5,2.75,3,3,4,2.5,1,1,3,0,2,25,1
65,3.5,4,3.666666667,3,4,1,1,0,0,1,7,1
65,3.25,3,3.333333333,4,3,1,1,0,0,1,5,1
62.5,3.5,3.5,3.333333333,4,4,1,1,0,0,1,12,1
75,4,3,4,4,4,1,1,0,0,1,12,1
67.5,3.5,3,3.666666667,4,4,1,1,0,0,1,9,1
72.5,3.75,3,3.666666667,3,4,1,1,0,0,1,7,1
57.5,2.75,2.5,2.666666667,3,2.5,1,1,7,2,4,51,0
35,2.5,2.5,1.666666667,3,2,0.5,1,12,1,2,22,1
37.5,3,2.5,2.333333333,3,2,0.8,1,3,0,3,4,0
35,2.25,2.5,2.333333333,3,2.5,0.5,1,0,0,1,2,1
40,3.75,2.5,2.333333333,3,2,1,1,0,0,1,9,1
47.5,3.5,3,2.666666667,3,2,1,1,0,0,1,10,1
42.5,3,3,2.666666667,3,2,1,1,1,0,2,5,1
42.5,3.25,2.5,2.666666667,3,2,1,1,0,0,1,6,1
92.5,5,5,5,5,5,0.666666667,1,0,0,1,22,1
92.5,5,5,5,5,5,1,1,0,0,1,21,1
92.5,5,5,5,5,5,0.8,1,1,0,2,8,1
77.5,4,4.5,4.666666667,5,5,0.75,1,6,0,2,3,1
95,5,5,5,5,5,1,1,0,0,1,8,1
100,5,5,5,5,5,0.8,1,0,0,1,9,1
97.5,5,5,5,5,5,0.75,1,0,0,1,7,1
92.5,4.75,4.5,4.666666667,5,5,0.666666667,1,5,1,3,5,0
95,4.5,4,4.333333333,3,5,0.833333333,1,3,1,2,34,1
82.5,3.75,4,4,3,5,1,1,6,1,2,39,1
100,5,5,5,3,5,0.8,0.6,1,0,2,14,1
100,5,5,5,3,5,0.75,0.75,0,0,1,4,1
100,5,5,4.666666667,3,5,1,0.666666667,1,1,2,14,0
100,4.75,5,5,3,5,0.8,1,0,0,1,21,1
100,4.75,5,5,3,5,0.75,1,0,0,1,16,1
100,5,5,5,5,5,0.666666667,1,3,1,2,15,0
80,4.75,5,4.666666667,2,2,1,1,7,1,3,57,1
80,2,3,3.666666667,2,1,1,1,7,0,2,35,1
67.5,3,5,4.666666667,2,1,0.8,0.8,1,0,2,9,1
77.5,1.25,5,4.333333333,3,1,1,1,1,0,2,3,1
87.5,3,5,5,3,1,0.666666667,0.666666667,0,0,1,8,1
82.5,5,5,4.666666667,3,1,1,1,1,0,1,12,1
85,5,5,5,3,1,1,1,4,0,2,17,1
82.5,4.5,5,4.666666667,3,1,1,1,0,0,1,17,1
100,5,5,5,5,5,0.666666667,1,1,0,2,34,1
52.5,3.75,1.5,3,4,5,1,1,6,1,2,54,1
65,4.25,3,4,5,4.5,0.4,1,2,0,2,12,1
90,5,5,5,5,5,0.5,1,0,0,1,5,1
95,5,5,5,5,4.5,0.666666667,0.666666667,0,0,1,18,1
97.5,4.25,4.5,5,5,5,0.8,1,4,0,2,28,0
90,5,3.5,4,5,5,0.75,1,1,0,2,11,1
95,5,5,5,5,5,0.666666667,1,0,0,1,17,1
65,4.25,4.5,4,3,2.5,1,1,1,1,2,86,1
75,3.5,3.5,3,3,2,0.5,0.5,4,1,2,29,1
60,3.5,4.5,3.333333333,3,3.5,0.8,1,3,0,2,18,1
72.5,3.5,5,3.666666667,3,2.5,0.75,1,1,0,2,10,1
70,4.5,4.5,4,3,3,1,1,2,0,2,15,0
65,4.5,5,3,3,2.5,1,1,4,0,2,26,0
72.5,4.5,5,4,3,3,1,1,4,1,2,9,1
77.5,4.5,5,4.333333333,3,3,1,1,0,0,1,10,1
80,4,3.5,4.666666667,5,2,1,1,2,1,2,17,1
55,4,3.5,3,5,3,1,1,3,0,2,24,1
47.5,4.5,3,3,5,4,0.8,0.8,4,0,2,12,1
42.5,4.5,4.5,2,5,4,0.75,0.75,0,0,1,3,1
62.5,4.75,4.5,3,5,4,1,0.333333333,0,0,1,12,1
60,5,5,3,5,4,1,1,9,1,3,13,0
75,5,5,3,5,4,1,1,0,0,1,13,1
67.5,5,5,3.333333333,5,4.5,1,1,0,0,1,8,1
90,5,2.5,5,5,3.5,1,1,3,1,2,20,1
85,5,5,5,5,3.5,1,1,0,0,1,25,1
100,5,5,5,5,3.5,0.8,1,1,0,2,6,1
100,5,5,5,5,4,0.75,1,0,0,1,3,1
100,5,5,5,5,4.5,1,1,2,0,2,9,0
100,5,5,5,5,4.5,1,1,0,0,1,12,1
100,5,5,5,5,4.5,1,1,0,0,1,14,1
100,5,5,5,5,4.5,1,1,1,1,2,10,0
82.5,4.25,5,5,3,5,1,1,3,1,2,21,1
70,3.25,4.5,3.666666667,3,5,1,1,8,1,2,35,1
87.5,3.25,5,4.666666667,3,3,0.8,1,1,0,1,9,1
